Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
giants,titans,at cowboys,at 49ers,jaguars,at eagles,saints,at colts,buccaneers,at panthers,cowboys,eagles,Bye,at falcons,at redskins,bears,at texans,redskins
redskins,colts,panthers,at saints,at cardinals,texans,at titans,falcons,packers,at buccaneers,at jaguars,at cowboys,Bye,eagles,giants,at eagles,cowboys,at giants
eagles,cowboys,at rams,at titans,Bye,giants,texans,at jaguars (Lon),at saints,vikings,panthers,at giants,colts,at redskins,falcons,redskins,at buccaneers,at cowboys
cowboys,at eagles,giants,buccaneers,titans,at colts,at falcons,lions,at texans,Bye,at giants,redskins,at seahawks,saints,at panthers,jaguars,at redskins,eagles
jets,at jaguars,packers,colts,at lions,dolphins,at bears,texans,at dolphins,broncos,at bills,at titans,bills,Bye,patriots,at browns,vikings,at patriots
bills,at texans,titans,jaguars,at packers,at ravens,lions,patriots,at vikings,Bye,jets,at patriots,at jets,bears,at colts,dolphins,chargers,at dolphins
dolphins,patriots,at texans,bears,at vikings,at jets,at packers,titans,jets,at bengals,Bye,jaguars,raiders,at patriots,lions,at bills,at colts,bills
patriots,at dolphins,at jaguars,texans,Bye,packers,vikings,at bills,chiefs,at bears,at lions,bills,at titans,dolphins,at jets,colts,at steelers,jets
jaguars,jets,patriots,at bills,at giants,at titans,colts,eagles (Lon),Bye,at colts,redskins,at dolphins,at chiefs,steelers,at texans,at cowboys,titans,texans
titans,at giants,at bills,eagles,at cowboys,jaguars,redskins,at dolphins,at chargers (Lon),at texans,Bye,jets,patriots,at colts,ravens,texans,at jaguars,colts
texans,bills,dolphins,at patriots,colts,at redskins,at eagles,at jets,cowboys,titans,at colts,at broncos,browns,Bye,jaguars,at titans,giants,at jaguars
colts,at redskins,bengals,at jets,at texans,cowboys,at jaguars,giants,Bye,jaguars,texans,at raiders,at eagles,titans,bills,at patriots,dolphins,at titans
panthers,seahawks,at redskins,at lions,buccaneers,bengals,Bye,at steelers,at falcons,giants,at eagles,saints,ravens,at buccaneers,cowboys,at saints,at browns,falcons
falcons,ravens,cardinals,at browns,Bye,at buccaneers,cowboys,at redskins,panthers,at packers,at saints,bengals,at steelers,giants,at eagles,buccaneers,saints,at panthers
buccaneers,browns,saints,at cowboys,at panthers,falcons,Bye,at bears,at giants,redskins,at ravens,49ers,at bengals,panthers,steelers,at falcons,eagles,at saints
saints,at bengals,at buccaneers,redskins,steelers,Bye,at giants,rams,eagles,at ravens,falcons,at panthers,at vikings,at cowboys,browns,panthers,at falcons,buccaneers
Broncos,chiefs,at raiders,seahawks,at ravens,browns,chargers,at 49ers,steelers,at jets,at chiefs,texans,at chargers,Bye,at bengals,rams,at cardinals,raiders
Chiefs,at broncos,at steelers,raiders,Bye,at seahawks,49ers,cardinals,at patriots,at rams (Mex),broncos,at browns,jaguars,at raiders,chargers,ravens,bengals,at chargers
Chargers,at steelers,49ers,ravens,at browns,raiders,at broncos,bengals,titans (Lon),Bye,at seahawks,at rams,broncos,cardinals,at chiefs,at raiders,at bills,chiefs
Raiders,rams,broncos,at chiefs,at bengals,at chargers,seahawks (Lon),Bye,browns,at 49ers,steelers,colts,at dolphins,chiefs,at cardinals,chargers,at ravens,at broncos
Lions,at vikings,at bears,panthers,jets,bears,at bills,at cowboys,rams,Bye,patriots,packers,at cardinals,vikings,at dolphins,seahawks,at 49ers,at packers
Bears,at packers,lions,at dolphins,at 49ers,at lions,jets,buccaneers,at cardinals,patriots,packers,seahawks,Bye,at bills,vikings,at giants,rams,at vikings
Packers,bears,at jets,at vikings,bills,at patriots,dolphins,vikings,at redskins,falcons,at bears,at lions,Bye,49ers,at rams,cardinals,at seahawks,lions
Vikings,lions,at seahawks,packers,dolphins,at rams,at patriots,at packers,bills,at eagles,Bye,cardinals,saints,at lions,at bears,49ers,at jets,bears
Cardinals,at 49ers,at falcons,rams,redskins,49ers,at rams,at chiefs,bears,seahawks,Bye,at vikings,lions,at chargers,raiders,at packers,broncos,at seahawks
Rams,at raiders,eagles,at cardinals,seahawks,vikings,cardinals,at saints,at lions,chiefs (Mex),Bye,chargers,at 49ers,at seahawks,packers,at broncos,at bears,49ers
Seahawks,at panthers,vikings,at broncos,at rams,chiefs,at raiders (Lon),Bye,49ers,at cardinals,chargers,at bears,cowboys,rams,at 49ers,at lions,packers,cardinals
49ers,cardinals,at chargers,giants,bears,at cardinals,at chiefs,broncos,at seahawks,raiders,Bye,at buccaneers,rams,at packers,seahawks,at vikings,lions,at rams
Ravens,at falcons,browns,at chargers,broncos,bills,Bye,at browns,at bengals,saints,buccaneers,at steelers,at panthers,bengals,at titans,at chiefs,raiders,steelers
Steelers,chargers,chiefs,at bengals,at saints,Bye,at browns,panthers,at broncos,browns,at raiders,ravens,falcons,at jaguars,at buccaneers,bengals,patriots,at ravens
Browns,at buccaneers,at ravens,falcons,chargers,at broncos,steelers,ravens,at raiders,at steelers,bengals,chiefs,at texans,Bye,at saints,jets,panthers,at bengals
Bengals,saints,at colts,steelers,raiders,at panthers,Bye,at chargers,ravens,dolphins,at browns,at falcons,buccaneers,at ravens,broncos,at steelers,at chiefs,browns